sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
1939.SKBTI.0531	19642	19241	97.96	19221	19066	97.07
1939.SKBTI.0532	10484	10227	97.55	10177	10048	95.84
1939.SKBTI.0533	86185	84008	97.47	83848	78009	90.51
1939.SKBTI.0534	33757	33099	98.05	33056	32149	95.24
1939.SKBTI.0536	17632	17206	97.58	17179	16238	92.09
1939.SKBTI.0537	21131	20652	97.73	20628	20040	94.84
1939.SKBTI.0538	9594	9381	97.78	9371	9277	96.7
1939.SKBTI.0539	57321	56214	98.07	56139	42011	73.29
1939.SKBTI.0540	13944	13558	97.23	13531	12443	89.24
1939.SKBTI.0541	17604	17224	97.84	17199	16761	95.21
1939.SKBTI.0542	8648	8459	97.81	8444	8330	96.32
1939.SKBTI.0543	18667	18448	98.83	18406	17852	95.63
1939.SKBTI.0544	68066	66439	97.61	66347	58558	86.03
1939.SKBTI.0545	3523	3465	98.35	3450	3421	97.1
1939.SKBTI.0546	15916	15563	97.78	15539	14795	92.96
1939.SKBTI.0547	1632	1616	99.02	1602	1588	97.3
1939.SKBTI.0548	4868	4728	97.12	4712	4612	94.74
1939.SKBTI.0549	48667	47818	98.26	47626	39761	81.7
1939.SKBTI.0550	13179	12931	98.12	12904	12400	94.09
1939.SKBTI.0551	41194	39994	97.09	39945	39041	94.77
1939.SKBTI.0552	16078	15689	97.58	15668	15615	97.12
1939.SKBTI.0554	7687	7496	97.52	7463	6587	85.69
1939.SKBTI.0555	8917	8730	97.9	8715	8341	93.54
1939.SKBTI.0556	32483	31729	97.68	31689	31011	95.47
1939.SKBTI.0557	2221	2196	98.87	2190	2164	97.43
1939.SKBTI.0558	11328	10997	97.08	10989	9928	87.64
1939.SKBTI.0559	6467	6349	98.18	6323	6286	97.2
1939.SKBTI.0560	6897	6751	97.88	6740	6496	94.19
1939.SKBTI.0561	6095	6007	98.56	5995	5980	98.11
1939.SKBTI.0562	55915	54635	97.71	54506	53485	95.65
1939.SKBTI.0563	24860	23599	94.93	23517	22831	91.84
1939.SKBTI.0564	9039	8864	98.06	8857	8350	92.38
1939.SKBTI.0565	9109	8915	97.87	8893	8656	95.03
1939.SKBTI.0566	10231	9922	96.98	9902	9691	94.72
1939.SKBTI.0567	90579	88712	97.94	88580	83096	91.74
1939.SKBTI.0568	40593	40049	98.66	39732	38807	95.6
1939.SKBTI.0569	7591	7398	97.46	7386	7349	96.81
1939.SKBTI.0570	10929	10675	97.68	10648	10586	96.86
1939.SKBTI.0571	6988	6860	98.17	6844	6518	93.27
1939.SKBTI.0572	14392	14140	98.25	14110	12879	89.49
1939.SKBTI.0573	18383	17993	97.88	17969	17695	96.26
1939.SKBTI.0574	9218	8975	97.36	8951	8681	94.17
1939.SKBTI.0575	7769	7524	96.85	7521	7413	95.42
1939.SKBTI.0576	10219	9997	97.83	9980	9621	94.15
1939.SKBTI.0577	10558	10244	97.03	10209	9771	92.55
1939.SKBTI.0578	11151	10917	97.9	10889	10664	95.63
1939.SKBTI.0579	13820	13363	96.69	13335	13190	95.44
1939.SKBTI.0580	15551	15274	98.22	15245	15057	96.82
1939.SKBTI.0581	6945	6736	96.99	6713	6594	94.95
1939.SKBTI.0583	29859	29417	98.52	29324	27760	92.97
1939.SKBTI.0584	1523	1507	98.95	1503	1460	95.86
1939.SKBTI.0585	28431	27478	96.65	27454	26280	92.43
1939.SKBTI.0587	11396	11241	98.64	11221	11189	98.18
1939.SKBTI.0588	24348	23623	97.02	23600	23152	95.09
1939.SKBTI.0589	41372	40546	98	40504	39609	95.74
1939.SKBTI.0590	23282	23006	98.81	22971	22666	97.35
1939.SKBTI.0591	26078	25433	97.53	25404	24567	94.21
1939.SKBTI.0592	19645	19231	97.89	19167	16132	82.12
1939.SKBTI.0593	764	734	96.07	715	678	88.74
1939.SKBTI.0594	9101	8917	97.98	8875	8865	97.41
1939.SKBTI.0595	5040	4466	88.61	4435	4259	84.5
1939.SKBTI.0596	30451	30108	98.87	30080	29929	98.29
1939.SKBTI.0597	10390	10149	97.68	10137	9767	94
1939.SKBTI.0598	6806	6571	96.55	6560	6350	93.3
1939.SKBTI.0599	71047	69558	97.9	69437	59180	83.3
1939.SKBTI.0600	30658	29666	96.76	29628	27247	88.87
1939.SKBTI.0601	13026	12757	97.93	12744	12727	97.7
1939.SKBTI.0603	71902	70465	98	70382	66929	93.08
1939.SKBTI.0604	7326	7181	98.02	7171	5338	72.86
1939.SKBTI.0605	19011	18549	97.57	18517	18481	97.21
1939.SKBTI.0606	5467	5349	97.84	5335	5299	96.93
1939.SKBTI.0607	11299	10995	97.31	10978	10155	89.88
1939.SKBTI.0608	3351	3272	97.64	3261	3257	97.19
1939.SKBTI.0609	5087	4985	97.99	4969	4868	95.69
1939.SKBTI.0610	16110	15806	98.11	15778	15430	95.78
1939.SKBTI.0611	35784	35057	97.97	34976	32773	91.59
1939.SKBTI.0613	62619	61443	98.12	61379	58482	93.39
1939.SKBTI.0614	32237	31826	98.73	31791	30879	95.79
1939.SKBTI.0615	69284	67753	97.79	67686	65875	95.08
1939.SKBTI.0617	6574	6390	97.2	6371	6055	92.11
1939.SKBTI.0618	1699	1660	97.7	1649	1529	89.99
1939.SKBTI.0619	22054	21695	98.37	21670	19671	89.19
1939.SKBTI.0620	18907	18440	97.53	18412	17890	94.62
1939.SKBTI.0621	16907	16707	98.82	16673	16362	96.78
1939.SKBTI.0622	5419	5253	96.94	5212	4335	80
1939.SKBTI.0623	70250	68093	96.93	67897	63211	89.98
1939.SKBTI.0624	7768	7601	97.85	7550	7365	94.81
1939.SKBTI.0626	33754	32802	97.18	32748	31919	94.56
1939.SKBTI.0627	6590	6423	97.47	6351	5729	86.93
1939.SKBTI.0629	10424	10080	96.7	10023	9283	89.05
1939.SKBTI.0630	41938	41059	97.9	40991	40501	96.57
1939.SKBTI.0631	9528	9286	97.46	9267	9045	94.93
1939.SKBTI.0632	5737	5611	97.8	5599	5509	96.03
1939.SKBTI.0633	81164	79377	97.8	79119	74205	91.43
1939.SKBTI.0634	19235	18782	97.64	18758	18588	96.64
1939.SKBTI.0635	11093	10860	97.9	10753	10156	91.55
1939.SKBTI.0636	51492	50689	98.44	50631	47260	91.78
1939.SKBTI.0637	62822	60580	96.43	60469	59265	94.34
1939.SKBTI.0638	24544	24220	98.68	24186	22319	90.93
1939.SKBTI.0640	51325	50351	98.1	50245	47774	93.08
1939.SKBTI.0641.a	2852	2764	96.91	2750	2633	92.32
1939.SKBTI.0641.b	4041	3665	90.7	3643	3438	85.08
1939.SKBTI.0642	10213	10050	98.4	10036	9923	97.16
1939.SKBTI.0643	51126	49939	97.68	49888	41722	81.61
1939.SKBTI.0645	72695	70726	97.29	70623	65853	90.59
1939.SKBTI.0646	7185	7000	97.43	6986	6159	85.72
1939.SKBTI.0647	9890	9689	97.97	9675	9440	95.45
1939.SKBTI.0648	40885	39462	96.52	39384	38380	93.87
1939.SKBTI.0650	86474	84774	98.03	84681	82567	95.48
1939.SKBTI.0651	12729	12423	97.6	12402	12182	95.7
1939.SKBTI.0652	42645	40285	94.47	40199	39763	93.24
1939.SKBTI.0653	15763	15227	96.6	15196	13447	85.31
1939.SKBTI.0654	34703	33949	97.83	33918	33057	95.26
1939.SKBTI.0655	863	844	97.8	837	821	95.13
1939.SKBTI.0656	35814	35017	97.77	34982	33904	94.67
1939.SKBTI.0658	23313	22686	97.31	22584	20115	86.28
1939.SKBTI.0659	8298	8068	97.23	8047	7361	88.71
1939.SKBTI.0660	21301	20787	97.59	20749	19649	92.24
1939.SKBTI.0661	2679	2623	97.91	2619	2566	95.78
1939.SKBTI.0662	22452	21946	97.75	21906	20396	90.84
1939.SKBTI.0663	3602	3519	97.7	3510	3469	96.31
1939.SKBTI.0664	31387	30578	97.42	30541	29978	95.51
1939.SKBTI.0665	38733	37771	97.52	37717	37222	96.1
1939.SKBTI.0666	5051	4923	97.47	4908	4880	96.61
1939.SKBTI.0667	8730	8568	98.14	8558	8513	97.51
1939.SKBTI.0669	13632	13332	97.8	13308	12820	94.04
1939.SKBTI.0670	6354	6190	97.42	6169	6061	95.39
1939.SKBTI.0671	28804	25647	89.04	25589	19960	69.3
1939.SKBTI.0672.a	3382	3257	96.3	3240	3087	91.28
1939.SKBTI.0672.b	11301	10642	94.17	10617	10376	91.81
1939.SKBTI.0674	35359	32704	92.49	32559	27592	78.03
1939.SKBTI.0675	23261	22087	94.95	21998	21213	91.2
1939.SKBTI.0676	27368	24764	90.49	24678	17613	64.36
1939.SKBTI.0678	31116	29035	93.31	28993	23380	75.14
1939.SKBTI.0679	4782	4358	91.13	4325	3292	68.84
1939.SKBTI.0682	9609	8841	92.01	8820	6668	69.39
1939.SKBTI.0683	3742	3438	91.88	3418	2438	65.15
1939.SKBTI.0684	24584	22271	90.59	22238	16807	68.37
1939.SKBTI.0688	2995	2757	92.05	2751	1949	65.08
1939.SKBTI.0689	2286	2092	91.51	2075	1531	66.97
1939.SKBTI.0690	20728	19688	94.98	19633	15171	73.19
1939.SKBTI.0692	10791	10060	93.23	10035	7835	72.61
1939.SKBTI.0697	14013	12818	91.47	12799	12625	90.09
1939.SKBTI.0700	2681	2583	96.34	2553	2523	94.11
1939.SKBTI.0703	10343	9854	95.27	9842	9419	91.07
1939.SKBTI.0704	61702	55903	90.6	55793	41431	67.15
1939.SKBTI.0705.a	1277	1211	94.83	1183	1035	81.05
1939.SKBTI.0705.b	5497	5096	92.71	5079	4763	86.65
1939.SKBTI.0706	7742	7432	96	7162	6364	82.2
1939.SKBTI.0707	10964	9896	90.26	9872	7960	72.6
1939.SKBTI.0708	9764	9339	95.65	9322	5888	60.3
1939.SKBTI.0710	11354	10747	94.65	10662	9369	82.52
1939.SKBTI.0713	13725	12524	91.25	12487	9626	70.13
1939.SKBTI.0715	9378	8561	91.29	8384	7975	85.04
1939.SKBTI.0716	58786	53333	90.72	52896	44141	75.09
1939.SKBTI.0717	46372	42648	91.97	42486	32881	70.91
1939.SKBTI.0719	18387	15904	86.5	15807	15458	84.07
1939.SKBTI.0721	14043	13231	94.22	13145	11763	83.76
1939.SKBTI.0722	17888	15481	86.54	15385	11828	66.12
1939.SKBTI.0727	4965	4676	94.18	4651	3645	73.41
1939.SKBTI.0730	5121	4632	90.45	4590	3522	68.78
1939.SKBTI.0731.a	3475	3203	92.17	3169	2383	68.58
1939.SKBTI.0731.b	58851	54524	92.65	54431	51186	86.98
1939.SKBTI.0732	15787	14427	91.39	14370	13629	86.33
1939.SKBTI.0733	20026	18783	93.79	18729	15349	76.65
1939.SKBTI.0734	14676	13301	90.63	13275	10194	69.46
1939.SKBTI.0737	7725	7156	92.63	7129	5761	74.58
1939.SKBTI.0739	6557	5983	91.25	5949	5618	85.68
1939.SKBTI.0740	13026	12035	92.39	11969	7112	54.6
1939.SKBTI.0969	30653	29462	96.11	29434	29355	95.77
1939.SKBTI.1019	29284	28761	98.21	28709	27624	94.33
1939.SKBTI.1037	2974	2853	95.93	2848	2684	90.25
1939.SKBTI.1093	37146	36062	97.08	36022	34837	93.78
1939.SKBTI.1094	34987	33881	96.84	33854	32813	93.79
1939.SKBTI.1130	41717	40950	98.16	40779	39123	93.78
1939.SKBTI.1135	39211	38114	97.2	38084	36958	94.25
1939.SKBTI.1140	48675	47496	97.58	47379	43284	88.92
1939.SKBTI.1142	79207	78634	99.28	78493	74413	93.95
1939.SKBTI.1147	52192	50532	96.82	50456	48261	92.47
1939.SKBTI.1149	35812	34949	97.59	34915	34390	96.03
1939.SKBTI.1151	3713	3676	99	3675	3673	98.92
1939.SKBTI.1165	63664	63188	99.25	62992	58776	92.32
1939.SKBTI.1167	54585	54263	99.41	54146	51446	94.25
1939.SKBTI.1174	26439	26218	99.16	26190	25637	96.97
1939.SKBTI.1191	40884	39893	97.58	39851	39418	96.41
1939.SKBTI.1192	24916	24316	97.59	24293	23359	93.75
1939.SKBTI.1193	39332	38310	97.4	38255	36973	94
1939.SKBTI.1196	30966	30212	97.57	30180	28707	92.7
1939.SKBTI.1200	32257	31297	97.02	31258	30873	95.71
1939.SKBTI.1203	34247	32894	96.05	32867	32066	93.63
1939.SKBTI.1206	27063	26688	98.61	26636	26336	97.31
1939.SKBTI.1209	26968	26653	98.83	26594	26525	98.36
1939.SKBTI.1211	32944	32654	99.12	32599	32162	97.63
1939.SKBTI.1215	37276	36212	97.15	36199	35167	94.34
1939.SKBTI.1217	33176	32916	99.22	32875	30713	92.58
1939.SKBTI.1218	58487	56364	96.37	56252	54293	92.83
1939.SKBTI.1220	41612	40997	98.52	40904	37938	91.17
1939.SKBTI.1223	49001	47142	96.21	47036	44441	90.69
1939.SKBTI.1226	98020	95311	97.24	95006	91208	93.05
1939.SKBTI.1227	54427	52419	96.31	52317	50604	92.98
1939.SKBTI.1228	25210	24942	98.94	24894	24766	98.24
1939.SKBTI.1229	64947	63872	98.34	63691	61093	94.07
1939.SKBTI.1248	32749	32492	99.22	32429	28561	87.21
1939.SKBTI.1252	49742	48248	97	48133	45835	92.15
1939.SKBTI.1253	28410	28223	99.34	28190	27440	96.59
1939.SKBTI.1286	35492	34635	97.59	34612	34392	96.9
1939.SKBTI.1288	44442	42618	95.9	42549	41509	93.4
1939.SKBTI.1291	29718	29025	97.67	29004	28848	97.07
1939.SKBTI.1293	68523	66482	97.02	66399	62693	91.49
1939.SKBTI.1295	22134	21781	98.41	21739	21595	97.56
1939.SKBTI.1298	37129	35343	95.19	35304	31724	85.44
1939.SKBTI.1311	30279	29245	96.59	29213	28585	94.41
1939.SKBTI.1312	27053	26392	97.56	26365	26124	96.57
1939.SKBTI.1315	42368	40814	96.33	40730	38458	90.77
1939.SKBTI.1322	64145	62452	97.36	62297	59869	93.33
1939.SKBTI.1325	26172	25828	98.69	25755	24887	95.09
1939.SKBTI.1328	54560	53237	97.58	53148	51086	93.63
1939.SKBTI.1332	22844	22608	98.97	22585	22567	98.79
1939.SKBTI.1334	39881	38500	96.54	38432	34714	87.04
1939.SKBTI.1339	12038	11905	98.9	11891	11871	98.61
1939.SKBTI.1341	54265	52668	97.06	52560	46735	86.12
1939.SKBTI.1343	36249	35117	96.88	35052	34127	94.15
1939.SKBTI.1350	32443	32242	99.38	32206	31442	96.91
1939.SKBTI.1352	51715	50624	97.89	50576	48490	93.76
1939.SKBTI.1354	27778	27565	99.23	27525	26508	95.43
1939.SKBTI.1355	42976	41870	97.43	41821	38766	90.2
1939.SKBTI002	16670	15356	92.12	15287	13637	81.81
1939.SKBTI003.a	2954	2643	89.47	2633	2534	85.78
1939.SKBTI003.b	19122	17251	90.22	17114	16695	87.31
1939.SKBTI004	23382	21875	93.55	21853	21744	92.99
1939.SKBTI006	1203	1146	95.26	1143	990	82.29
1939.SKBTI008	6049	5567	92.03	5526	5351	88.46
1939.SKBTI009	135325	125120	92.46	124961	123077	90.95
1939.SKBTI011	32994	30768	93.25	30721	29598	89.71
1939.SKBTI012	5866	5479	93.4	5437	5308	90.49
1939.SKBTI013	58727	54083	92.09	53864	52355	89.15
1939.SKBTI014	31777	29411	92.55	29352	27053	85.13
1939.SKBTI015	3524	3314	94.04	3296	3231	91.69
1939.SKBTI016	33508	30936	92.32	30891	30710	91.65
1939.SKBTI018	14825	13967	94.21	13941	13574	91.56
1939.SKBTI019	23356	21584	92.41	21501	20884	89.42
1939.SKBTI020	44253	41087	92.85	40951	40512	91.55
1939.SKBTI021	1482	1353	91.3	1349	1322	89.2
1939.SKBTI022	12126	11090	91.46	11016	10889	89.8
1939.SKBTI023	25618	24307	94.88	24258	23172	90.45
1939.SKBTI024	52817	47701	90.31	47639	47342	89.63
1939.SKBTI025	44797	41197	91.96	41135	40534	90.48
1939.SKBTI026	140050	127558	91.08	127206	122111	87.19
1939.SKBTI027	14453	13276	91.86	13217	12301	85.11
1939.SKBTI028	343802	322982	93.94	322394	311408	90.58
1939.SKBTI029	128106	120843	94.33	120652	117166	91.46
1939.SKBTI030	56434	53261	94.38	53142	50448	89.39
1939.SKBTI031	10692	9931	92.88	9911	9720	90.91
1939.SKBTI032	35758	33510	93.71	33453	33012	92.32
1939.SKBTI033	66465	61311	92.25	61150	57326	86.25
1939.SKBTI034	96856	87042	89.87	86770	85254	88.02
1939.SKBTI035	6432	6039	93.89	6016	5628	87.5
1939.SKBTI036	132323	125319	94.71	125068	122960	92.92
1939.SKBTI037	197531	188066	95.21	187866	181174	91.72
1939.SKBTI038	286776	264582	92.26	263692	244790	85.36
1939.SKBTI039	85950	79612	92.63	79391	73650	85.69
1939.SKBTI040	51926	44965	86.59	44900	44851	86.37
1939.SKBTI041	16528	15566	94.18	15532	15265	92.36
1939.SKBTI042	17442	16262	93.23	16230	15972	91.57
1939.SKBTI043	38930	36133	92.82	36070	34983	89.86
1939.SKBTI044	57472	54487	94.81	54425	53994	93.95
1939.SKBTI045	76201	71083	93.28	70932	70070	91.95
1939.SKBTI046.a	9021	8319	92.22	8292	8245	91.4
1939.SKBTI046.b	56269	51037	90.7	50984	50094	89.03
1939.SKBTI047	75699	69782	92.18	69452	68742	90.81
1939.SKBTI048	32878	30932	94.08	30842	29993	91.23
1939.SKBTI049	94202	86466	91.79	86306	82772	87.87
1939.SKBTI050	55537	52766	95.01	52724	52070	93.76
1939.SKBTI051	6901	6359	92.15	6339	6263	90.75
1939.SKBTI052	71216	65037	91.32	64877	63898	89.72
1939.SKBTI053	100436	94696	94.28	94595	92302	91.9
1939.SKBTI054	90614	83752	92.43	83633	82918	91.51
1939.SKBTI055	32159	30574	95.07	30545	30150	93.75
1939.SKBTI056	16888	15757	93.3	15706	14107	83.53
1939.SKBTI057	229672	213531	92.97	212882	203040	88.4
1939.SKBTI058	31346	29660	94.62	29618	29070	92.74
1939.SKBTI059	33073	31213	94.38	31169	30983	93.68
1939.SKBTI060	37289	34648	92.92	34593	32088	86.05
1939.SKBTI061	30596	28300	92.5	28175	27437	89.68
1939.SKBTI062.a	7656	7126	93.08	7089	6835	89.28
1939.SKBTI062.b	33215	30618	92.18	30586	29727	89.5
1939.SKBTI063	54878	50482	91.99	50338	49954	91.03
1939.SKBTI064	132903	123376	92.83	122968	117619	88.5
1939.SKBTI065	26022	23815	91.52	23696	22350	85.89
1939.SKBTI066.a	6984	6578	94.19	6551	6276	89.86
1939.SKBTI066.b	24745	23491	94.93	23462	23406	94.59
1939.SKBTI067	39112	37544	95.99	37411	36984	94.56
1939.SKBTI068	53339	48988	91.84	48837	48411	90.76
1939.SKBTI069	94665	87042	91.95	86800	85318	90.13
1939.SKBTI070	34028	30843	90.64	30741	30512	89.67
1939.SKBTI071	30075	28152	93.61	28120	26962	89.65
1939.SKBTI072	29263	26189	89.5	26054	25596	87.47
1939.SKBTI073	27995	26287	93.9	26259	26048	93.05
1939.SKBTI074	43056	40694	94.51	40647	39149	90.93
1939.SKBTI075.a	5654	5181	91.63	5145	5008	88.57
1939.SKBTI075.b	27648	25384	91.81	25297	24783	89.64
1939.SKBTI076.a	6709	6049	90.16	6032	5873	87.54
1939.SKBTI076.b	25061	23494	93.75	23456	22863	91.23
1939.SKBTI077	65666	61224	93.24	61153	53275	81.13
1939.SKBTI078	40179	37361	92.99	37253	35787	89.07
1939.SKBTI079	98326	92798	94.38	92701	91123	92.67
1939.SKBTI080	15668	14306	91.31	14240	13998	89.34
1939.SKBTI081	48872	44751	91.57	44550	43323	88.65
1939.SKBTI082.a	10530	9444	89.69	9423	9186	87.24
1939.SKBTI082.b	26248	24700	94.1	24663	24240	92.35
1939.SKBTI083	38881	36426	93.69	36365	34868	89.68
1939.SKBTI085	8881	8334	93.84	8320	8171	92.01
1939.SKBTI086	55120	52577	95.39	52530	48465	87.93
1939.SKBTI087	72590	68696	94.64	68636	65864	90.73
1939.SKBTI088	23894	22442	93.92	22394	21218	88.8
1939.SKBTI089.a	8284	7508	90.63	7482	7325	88.42
1939.SKBTI089.b	53664	48805	90.95	48572	47746	88.97
1939.SKBTI090	6403	6121	95.6	6095	6091	95.13
1939.SKBTI091.a	7721	7164	92.79	7137	7049	91.3
1939.SKBTI091.b	16803	15848	94.32	15825	15627	93
1939.SKBTI092.a	17051	15631	91.67	15591	14396	84.43
1939.SKBTI092.b	140083	129103	92.16	128805	120788	86.23
1939.SKBTI093	178036	167692	94.19	167395	162686	91.38
1939.SKBTI094	4013	3761	93.72	3748	3736	93.1
1939.SKBTI095	34004	32156	94.57	32114	30654	90.15
1939.SKBTI096	114012	103574	90.84	103197	101624	89.13
